age,height_cm,weight_kg,work_rate_att,overall
32,185.0,80.0,High,94
30,170.0,72.0,Medium,93
25,175.0,68.0,High,92
30,182.0,86.0,High,92
31,193.0,92.0,Medium,92
28,185.0,79.0,High,91
26,193.0,76.0,Medium,90
26,173.0,76.0,High,90
27,182.0,78.0,Medium,90
29,184.0,87.0,High,90
31,183.0,75.0,High,90
26,181.0,68.0,High,89
25,199.0,94.0,Medium,89
28,169.0,62.0,High,89
31,174.0,65.0,High,89
27,183.0,74.0,High,89
29,173.0,70.0,High,89
32,187.0,85.0,Low,89
39,191.0,94.0,Medium,89
23,177.0,73.0,High,88
24,189.0,82.0,Medium,88
26,174.0,72.0,High,88
26,174.0,70.0,Medium,88
28,187.0,80.0,Medium,88
30,190.0,85.0,Low,88
28,192.0,90.0,Medium,88
31,186.0,78.0,Medium,88
28,191.0,92.0,High,88
28,180.0,76.0,Medium,88
30,188.0,82.0,Medium,88
32,183.0,79.0,High,88
35,195.0,95.0,Medium,88
33,180.0,80.0,High,88
26,168.0,68.0,Medium,87
24,165.0,60.0,High,87
24,191.0,84.0,High,87
25,182.0,76.0,High,87
30,180.0,75.0,High,87
30,184.0,71.0,High,87
29,174.0,75.0,High,87
29,183.0,79.0,High,87
29,184.0,78.0,Medium,87
31,173.0,67.0,High,87
32,193.0,92.0,Medium,87
30,194.0,85.0,High,87
33,171.0,68.0,High,87
23,188.0,86.0,High,86
25,180.0,75.0,Medium,86
25,176.0,74.0,High,86
25,180.0,76.0,High,86
24,190.0,94.0,Medium,86
26,181.0,81.0,High,86
27,186.0,75.0,High,86
28,189.0,76.0,Medium,86
25,171.0,71.0,High,86
28,180.0,75.0,Medium,86
28,187.0,91.0,Medium,86
30,189.0,84.0,Medium,86
28,186.0,87.0,High,86
29,176.0,77.0,High,86
28,190.0,81.0,Medium,86
30,169.0,61.0,High,86
29,186.0,85.0,Medium,86
32,186.0,78.0,Medium,86
29,187.0,79.0,Medium,86
30,180.0,77.0,High,86
34,170.0,72.0,High,86
34,188.0,81.0,Medium,86
35,196.0,90.0,Medium,86
23,180.0,67.0,High,85
24,191.0,78.0,Medium,85
24,189.0,85.0,High,85
